run.number,step,p.transition,conform.fixation,sample.size,population,mean.p.conform,mean.conform,mean.action,conformist.mortality,contrarian.mortality,environment
7,227,0.04,TRUE,5,1000,0.945540445,0.909,0.798,0.193406593,0.055555556,0
3,220,0.02,TRUE,5,1000,0.905505255,0.822,0.638,0.168498168,0.082872928,0
1,231,0.01,TRUE,5,1000,0.971706503,0.983,0.965,0.04969574,0.142857143,1
8,228,0.04,TRUE,50,1000,0.940124192,0.865,0.788,0.199538639,0.045112782,0
2,213,0.01,TRUE,50,1000,0.949726967,0.849,0.777,0.2,0.046666667,0
4,231,0.02,TRUE,50,1000,0.971663404,0.988,0.964,0.04964539,0.153846154,1
5,239,0.03,TRUE,5,1000,0.926280656,0.89,0.36,0.101809955,0.137931034,0
6,213,0.03,TRUE,50,1000,0.892321982,0.734,0.307,0.199730094,0.046332046,1
1,232,0.01,TRUE,5,1000,0.972084449,0.984,0.96,0.049847406,0.176470588,1
3,221,0.02,TRUE,5,1000,0.904598768,0.816,0.62,0.172749392,0.056179775,0
7,228,0.04,TRUE,5,1000,0.945021849,0.9,0.795,0.194719472,0.043956044,0
8,229,0.04,TRUE,50,1000,0.938855137,0.866,0.783,0.2,0.044444444,0
5,240,0.03,TRUE,5,1000,0.92624859,0.905,0.25,0.076404494,0.163636364,0
2,214,0.01,TRUE,50,1000,0.949320869,0.846,0.766,0.199057715,0.046357616,0
4,232,0.02,TRUE,50,1000,0.972017612,0.99,0.958,0.049595142,0.166666667,1
6,214,0.03,TRUE,50,1000,0.890441547,0.736,0.337,0.198910082,0.04887218,1
3,222,0.02,TRUE,5,1000,0.903314972,0.823,0.57,0.154411765,0.097826087,0
7,229,0.04,TRUE,5,1000,0.944024431,0.897,0.773,0.193333333,0.03,0
1,233,0.01,TRUE,5,1000,0.971939035,0.986,0.957,0.049796748,0.1875,1
8,230,0.04,TRUE,50,1000,0.937984063,0.861,0.785,0.199769053,0.044776119,0
2,215,0.01,TRUE,50,1000,0.949834867,0.847,0.777,0.199763593,0.045454545,0
4,233,0.02,TRUE,50,1000,0.971868583,0.992,0.967,0.049494949,0.2,1
5,241,0.03,TRUE,5,1000,0.926183759,0.919,0.15,0.059668508,0.168421053,0
7,230,0.04,TRUE,5,1000,0.943994373,0.898,0.751,0.18729097,0.067961165,0
6,215,0.03,TRUE,50,1000,0.887211461,0.726,0.331,0.198369565,0.049242424,1
3,223,0.02,TRUE,5,1000,0.901797742,0.819,0.548,0.147023086,0.096045198,0
1,234,0.01,TRUE,5,1000,0.971536397,0.986,0.964,0.04969574,0.142857143,1
8,231,0.04,TRUE,50,1000,0.937480548,0.851,0.757,0.199767712,0.043165468,0
5,242,0.03,TRUE,5,1000,0.926254668,0.924,0.118,0.053318825,0.197530864,0
4,234,0.02,TRUE,50,1000,0.972192594,0.988,0.968,0.049395161,0.125,1
2,216,0.01,TRUE,50,1000,0.948411938,0.846,0.767,0.199527745,0.045751634,0
6,216,0.03,TRUE,50,1000,0.887054715,0.718,0.345,0.199724518,0.047445255,1
3,224,0.02,TRUE,5,1000,0.902195615,0.829,0.524,0.134310134,0.143646409,0
7,231,0.04,TRUE,5,1000,0.943381489,0.898,0.767,0.187082405,0.088235294,0
1,235,0.01,TRUE,5,1000,0.971463239,0.988,0.963,0.04969574,0.142857143,1
5,243,0.03,TRUE,5,1000,0.92681224,0.938,0.108,0.04978355,0.210526316,0
4,235,0.02,TRUE,50,1000,0.972141979,0.99,0.965,0.049595142,0.166666667,1
8,232,0.04,TRUE,50,1000,0.936748154,0.847,0.774,0.199764982,0.046979866,0
6,217,0.03,TRUE,50,1000,0.887942511,0.714,0.354,0.197771588,0.04964539,1
7,232,0.04,TRUE,5,1000,0.942497511,0.897,0.772,0.189309577,0.068627451,0
2,217,0.01,TRUE,50,1000,0.949343376,0.845,0.768,0.199763593,0.045454545,0
3,225,0.02,TRUE,5,1000,0.902272591,0.837,0.492,0.136308806,0.099415205,0
1,236,0.01,TRUE,5,1000,0.970845184,0.989,0.962,0.049595142,0.166666667,1
5,244,0.03,TRUE,5,1000,0.927180769,0.948,0.084,0.05010661,0.193548387,0
4,236,0.02,TRUE,50,1000,0.971793998,0.989,0.967,0.049494949,0.2,1
8,233,0.04,TRUE,50,1000,0.936994072,0.846,0.766,0.199527745,0.045751634,0
6,218,0.03,TRUE,50,1000,0.883505507,0.704,0.355,0.200280112,0.045454545,1
3,226,0.02,TRUE,5,1000,0.901986621,0.849,0.476,0.125448029,0.128834356,0
7,233,0.04,TRUE,5,1000,0.942243995,0.894,0.764,0.189520624,0.048543689,0
2,218,0.01,TRUE,50,1000,0.948381005,0.843,0.759,0.2,0.04516129,0
5,245,0.03,TRUE,5,1000,0.927809983,0.956,0.072,0.049578059,0.211538462,0
1,237,0.01,TRUE,5,1000,0.970211515,0.99,0.962,0.049544995,0.181818182,1
4,237,0.02,TRUE,50,1000,0.97143949,0.989,0.966,0.049544995,0.181818182,1
8,234,0.04,TRUE,50,1000,0.936506366,0.843,0.76,0.199763593,0.045454545,0
3,227,0.02,TRUE,5,1000,0.902418647,0.855,0.419,0.107184923,0.158940397,0
6,219,0.03,TRUE,50,1000,0.881794684,0.693,0.357,0.198863636,0.047297297,1
7,234,0.04,TRUE,5,1000,0.941893474,0.907,0.843,0.060402685,0.169811321,1
2,219,0.01,TRUE,50,1000,0.946916856,0.839,0.761,0.199288256,0.044585987,0
5,246,0.03,TRUE,5,1000,0.92728261,0.959,0.055,0.04916318,0.181818182,0
1,238,0.01,TRUE,5,1000,0.96978107,0.99,0.965,0.049494949,0.2,1
3,228,0.02,TRUE,5,1000,0.901877429,0.863,0.394,0.105263158,0.144827586,0
4,238,0.02,TRUE,50,1000,0.971518834,0.989,0.962,0.049544995,0.181818182,1
7,235,0.04,TRUE,5,1000,0.943236336,0.925,0.881,0.049614112,0.215053763,1
6,220,0.03,TRUE,50,1000,0.879707036,0.68,0.371,0.197691198,0.052117264,1
8,235,0.04,TRUE,50,1000,0.93544152,0.838,0.756,0.199288256,0.044585987,0
2,220,0.01,TRUE,50,1000,0.946606644,0.834,0.766,0.199046484,0.049689441,0
5,247,0.03,TRUE,5,1000,0.927351654,0.962,0.065,0.049009385,0.195121951,0
1,239,0.01,TRUE,5,1000,0.969550732,0.989,0.968,0.049494949,0.2,1
7,236,0.04,TRUE,5,1000,0.94378431,0.938,0.906,0.050810811,0.186666667,1
3,229,0.02,TRUE,5,1000,0.901701621,0.873,0.32,0.090382387,0.160583942,0
2,221,0.01,TRUE,50,1000,0.946688652,0.838,0.758,0.199040767,0.048192771,0
1,240,0.01,TRUE,5,1000,0.969526544,0.991,0.965,0.049544995,0.181818182,1
6,221,0.03,TRUE,50,1000,0.88065544,0.679,0.392,0.198529412,0.053125,1
8,236,0.04,TRUE,50,1000,0.935840505,0.835,0.749,0.19928401,0.049382716,0
4,239,0.02,TRUE,50,1000,0.971538401,0.99,0.969,0.049544995,0.181818182,1
7,237,0.04,TRUE,5,1000,0.943789108,0.949,0.91,0.05010661,0.193548387,1
5,248,0.03,TRUE,5,1000,0.927584433,0.967,0.063,0.04989605,0.184210526,0
3,230,0.02,TRUE,5,1000,0.902116968,0.888,0.208,0.067583047,0.165354331,0
2,222,0.01,TRUE,50,1000,0.947629492,0.837,0.755,0.19928401,0.049382716,0
1,241,0.01,TRUE,5,1000,0.969808429,0.992,0.979,0.049445005,0.111111111,1
8,237,0.04,TRUE,50,1000,0.93642821,0.833,0.758,0.2,0.048484848,0
6,222,0.03,TRUE,50,1000,0.880278436,0.679,0.389,0.195876289,0.049844237,1
5,249,0.03,TRUE,5,1000,0.927892776,0.97,0.059,0.049638056,0.181818182,0
7,238,0.04,TRUE,5,1000,0.944209575,0.955,0.927,0.050579557,0.176470588,1
3,231,0.02,TRUE,5,1000,0.901887899,0.906,0.141,0.054054054,0.196428571,0
4,240,0.02,TRUE,50,1000,0.971255881,0.99,0.961,0.049494949,0.2,1
8,238,0.04,TRUE,50,1000,0.935787242,0.825,0.75,0.199279712,0.047904192,0
5,250,0.03,TRUE,5,1000,0.928254745,0.968,0.052,0.049484536,0.2,0
2,223,0.01,TRUE,50,1000,0.945889515,0.836,0.763,0.199522103,0.049079755,0
1,242,0.01,TRUE,5,1000,0.969549571,0.992,0.974,0.049395161,0.125,1
6,223,0.03,TRUE,50,1000,0.880124521,0.683,0.386,0.194403535,0.052959502,1
4,241,0.02,TRUE,50,1000,0.971231345,0.991,0.97,0.049494949,0.2,1
7,239,0.04,TRUE,5,1000,0.943865549,0.96,0.927,0.04921466,0.2,1
3,232,0.02,TRUE,5,1000,0.902455805,0.921,0.126,0.05187638,0.20212766,0
5,251,0.03,TRUE,5,1000,0.927925983,0.968,0.057,0.049586777,0.1875,0
8,239,0.04,TRUE,50,1000,0.936731613,0.853,0.823,0.04969697,0.2,1
2,224,0.01,TRUE,50,1000,0.946089403,0.831,0.752,0.199760766,0.048780488,0
1,243,0.01,TRUE,5,1000,0.969376317,0.99,0.969,0.049395161,0.125,1
6,224,0.03,TRUE,50,1000,0.881243521,0.678,0.384,0.197657394,0.050473186,1
4,242,0.02,TRUE,50,1000,0.971087755,0.988,0.962,0.049445005,0.111111111,1
7,240,0.04,TRUE,5,1000,0.94502253,0.966,0.934,0.048958333,0.2,1
3,233,0.02,TRUE,5,1000,0.902250955,0.931,0.104,0.049945711,0.202531646,0
5,252,0.03,TRUE,5,1000,0.927280352,0.973,0.066,0.049586777,0.1875,0
8,240,0.04,TRUE,50,1000,0.937437998,0.874,0.849,0.049237984,0.197278912,1
4,243,0.02,TRUE,50,1000,0.971345447,0.989,0.959,0.049595142,0.166666667,1
6,225,0.03,TRUE,50,1000,0.881141036,0.682,0.39,0.196165192,0.052795031,1
2,225,0.01,TRUE,50,1000,0.944841604,0.828,0.739,0.199759326,0.047337278,0
1,244,0.01,TRUE,5,1000,0.968908088,0.991,0.961,0.049494949,0.2,1
7,241,0.04,TRUE,5,1000,0.945044365,0.97,0.946,0.050724638,0.176470588,1
3,234,0.02,TRUE,5,1000,0.903501611,0.939,0.089,0.050483351,0.202898551,0
5,253,0.03,TRUE,5,1000,0.927845285,0.977,0.05,0.049331963,0.185185185,0
1,245,0.01,TRUE,5,1000,0.968625513,0.993,0.966,0.049445005,0.222222222,1
2,226,0.01,TRUE,50,1000,0.944853284,0.827,0.755,0.199275362,0.046511628,0
8,241,0.04,TRUE,50,1000,0.938321437,0.898,0.86,0.049199085,0.198412698,1
3,235,0.02,TRUE,5,1000,0.904423254,0.948,0.077,0.048988285,0.196721311,0
6,226,0.03,TRUE,50,1000,0.880109768,0.681,0.39,0.193548387,0.053459119,1
4,244,0.02,TRUE,50,1000,0.971658598,0.988,0.962,0.049544995,0.181818182,1
7,242,0.04,TRUE,5,1000,0.944722228,0.971,0.954,0.049484536,0.2,1
5,254,0.03,TRUE,5,1000,0.928536166,0.976,0.046,0.051177073,0.130434783,0
1,246,0.01,TRUE,5,1000,0.968049048,0.993,0.965,0.049345418,0.142857143,1
3,236,0.02,TRUE,5,1000,0.903888272,0.953,0.072,0.050632911,0.192307692,0
2,227,0.01,TRUE,50,1000,0.943323031,0.824,0.76,0.199516324,0.046242775,0
6,227,0.03,TRUE,50,1000,0.879599333,0.68,0.383,0.195301028,0.053291536,1
8,242,0.04,TRUE,50,1000,0.93907659,0.913,0.887,0.048997773,0.196078431,1
4,245,0.02,TRUE,50,1000,0.971912018,0.989,0.956,0.049595142,0.166666667,1
7,243,0.04,TRUE,5,1000,0.944203232,0.969,0.954,0.049433574,0.172413793,1
