run.number,step,p.transition,conform.fixation,sample.size,population,mean.p.conform,mean.conform,mean.action,conformist.mortality,contrarian.mortality,environment
4,0,0.02,TRUE,50,1000,1,1,0.536,0,0,0
6,0,0.03,TRUE,50,1000,1,1,0.493,0,0,0
7,0,0.04,TRUE,5,1000,1,1,0.528,0,0,0
8,0,0.04,TRUE,50,1000,1,1,0.508,0,0,1
3,0,0.02,TRUE,5,1000,1,1,0.48,0,0,0
5,0,0.03,TRUE,5,1000,1,1,0.481,0,0,1
2,0,0.01,TRUE,50,1000,1,1,0.523,0,0,1
1,0,0.01,TRUE,5,1000,1,1,0.506,0,0,1
5,1,0.03,TRUE,5,1000,0.999328837,0.999,0.466,0,0,1
4,1,0.02,TRUE,50,1000,0.999122022,0.999,0.809,0,0,0
6,1,0.03,TRUE,50,1000,0.999728304,1,0.135,0,0,0
2,1,0.01,TRUE,50,1000,0.999815015,1,0.926,0,0,1
8,1,0.04,TRUE,50,1000,0.999796877,0.999,0.863,0,0,1
1,1,0.01,TRUE,5,1000,0.999533916,1,0.531,0,0,1
7,1,0.04,TRUE,5,1000,0.999243668,0.999,0.595,0,0,0
3,1,0.02,TRUE,5,1000,0.999523504,1,0.409,0,0,1
5,2,0.03,TRUE,5,1000,0.998823807,0.999,0.476,0.137137137,0,1
4,2,0.02,TRUE,50,1000,0.998528754,0.998,0.908,0.199199199,0,0
2,2,0.01,TRUE,50,1000,0.99966089,1,0.981,0,0,1
6,2,0.03,TRUE,50,1000,0.999536169,1,0.019,0,0,0
8,2,0.04,TRUE,50,1000,0.999611423,0.999,0.977,0.049049049,0,1
7,2,0.04,TRUE,5,1000,0.998548124,0.999,0.717,0.168168168,0,0
1,2,0.01,TRUE,5,1000,0.999137647,1,0.613,0,0,1
5,3,0.03,TRUE,5,1000,0.998503566,0.999,0.474,0.135135135,0,1
4,3,0.02,TRUE,50,1000,0.997737304,0.998,0.907,0.199398798,0,0
3,2,0.02,TRUE,5,1000,0.99868562,0.998,0.262,0,0,1
8,3,0.04,TRUE,50,1000,0.999503222,0.998,0.976,0.049049049,0,1
2,3,0.01,TRUE,50,1000,0.999516651,1,0.977,0,0,1
6,3,0.03,TRUE,50,1000,0.999378479,1,0.026,0,0,0
7,3,0.04,TRUE,5,1000,0.997907046,0.999,0.824,0.188188188,0,0
5,4,0.03,TRUE,5,1000,0.998022043,0.997,0.456,0.124124124,0,0
1,3,0.01,TRUE,5,1000,0.99879317,1,0.762,0,0,1
4,4,0.02,TRUE,50,1000,0.997156957,0.998,0.899,0.199398798,0,0
8,4,0.04,TRUE,50,1000,0.999309535,0.998,0.971,0.049098196,0,1
3,3,0.02,TRUE,5,1000,0.997836065,0.997,0.119,0.195390782,0,1
2,4,0.01,TRUE,50,1000,0.999385793,1,0.974,0,0,1
6,4,0.03,TRUE,50,1000,0.999284845,1,0.026,0,0,0
5,5,0.03,TRUE,5,1000,0.99786546,0.997,0.312,0.100300903,0,0
7,4,0.04,TRUE,5,1000,0.997253484,0.997,0.879,0.197197197,0,0
1,4,0.01,TRUE,5,1000,0.998569339,1,0.942,0,0,1
4,5,0.02,TRUE,50,1000,0.996402155,0.996,0.896,0.199398798,0,0
8,5,0.04,TRUE,50,1000,0.999193649,0.998,0.973,0.049098196,0,1
3,4,0.02,TRUE,5,1000,0.997109275,0.996,0.111,0.198595787,0,1
2,5,0.01,TRUE,50,1000,0.999252736,1,0.969,0,0,1
5,6,0.03,TRUE,5,1000,0.997691977,0.997,0.091,0.060180542,0,0
7,5,0.04,TRUE,5,1000,0.996522238,0.997,0.878,0.198595787,0,0
1,5,0.01,TRUE,5,1000,0.998367806,1,0.972,0,0,1
8,6,0.04,TRUE,50,1000,0.999009918,0.998,0.976,0.049098196,0,1
6,5,0.03,TRUE,50,1000,0.998496562,1,0.103,0,0,1
4,6,0.02,TRUE,50,1000,0.99545747,0.994,0.896,0.199799197,0,0
2,6,0.01,TRUE,50,1000,0.999051366,1,0.978,0,0,1
1,6,0.01,TRUE,5,1000,0.998202568,1,0.972,0,0,1
5,7,0.03,TRUE,5,1000,0.997484966,0.997,0.018,0.049147442,0,0
3,5,0.02,TRUE,5,1000,0.996417383,0.994,0.104,0.198795181,0,1
8,7,0.04,TRUE,50,1000,0.998816487,0.998,0.975,0.049098196,0,1
6,6,0.03,TRUE,50,1000,0.99767247,0.996,0.097,0,0,1
7,6,0.04,TRUE,5,1000,0.995932444,0.997,0.898,0.198595787,0,0
4,7,0.02,TRUE,50,1000,0.994732955,0.993,0.896,0.199195171,0,0
2,7,0.01,TRUE,50,1000,0.998782013,1,0.978,0,0,1
1,7,0.01,TRUE,5,1000,0.99800602,0.999,0.971,0,0,1
5,8,0.03,TRUE,5,1000,0.997458779,0.996,0.024,0.049147442,0,0
8,8,0.04,TRUE,50,1000,0.998612328,0.998,0.973,0.049098196,0,1
7,7,0.04,TRUE,5,1000,0.995703753,0.997,0.893,0.198595787,0,0
6,7,0.03,TRUE,50,1000,0.996607945,0.996,0.114,0.199799197,0,1
3,6,0.02,TRUE,5,1000,0.995491796,0.992,0.084,0.199195171,0,1
4,8,0.02,TRUE,50,1000,0.994301113,0.993,0.89,0.19939577,0,0
5,9,0.03,TRUE,5,1000,0.997319945,0.996,0.032,0.049196787,0,0
1,8,0.01,TRUE,5,1000,0.997914386,0.999,0.976,0.049049049,0,1
8,9,0.04,TRUE,50,1000,0.998366119,0.998,0.966,0.049098196,0,1
2,8,0.01,TRUE,50,1000,0.998559381,0.999,0.984,0,0,1
4,9,0.02,TRUE,50,1000,0.993555699,0.991,0.891,0.19939577,0,0
7,8,0.04,TRUE,5,1000,0.995097343,0.996,0.878,0.198595787,0,0
6,8,0.03,TRUE,50,1000,0.995883114,0.993,0.107,0.199799197,0,1
3,7,0.02,TRUE,5,1000,0.994765045,0.992,0.111,0.19858871,0,1
5,10,0.03,TRUE,5,1000,0.997139666,0.996,0.028,0.049196787,0,0
1,9,0.01,TRUE,5,1000,0.997653286,0.999,0.971,0.049049049,0,1
8,10,0.04,TRUE,50,1000,0.998275999,0.998,0.974,0.049098196,0,1
2,9,0.01,TRUE,50,1000,0.998310067,0.997,0.973,0.049049049,0,1
4,10,0.02,TRUE,50,1000,0.99298819,0.988,0.888,0.199798184,0,0
7,9,0.04,TRUE,5,1000,0.994551378,0.996,0.893,0.197791165,0.25,0
3,8,0.02,TRUE,5,1000,0.993971603,0.991,0.112,0.199596774,0,1
5,11,0.03,TRUE,5,1000,0.996900254,0.996,0.03,0.049196787,0,0
6,9,0.03,TRUE,50,1000,0.995317252,0.993,0.098,0.19939577,0,1
8,11,0.04,TRUE,50,1000,0.998181667,0.998,0.973,0.049098196,0,1
1,10,0.01,TRUE,5,1000,0.997489424,0.999,0.975,0.049049049,0,1
4,11,0.02,TRUE,50,1000,0.991974493,0.987,0.887,0.199392713,0,0
2,10,0.01,TRUE,50,1000,0.998162928,0.997,0.97,0.049147442,0,1
7,10,0.04,TRUE,5,1000,0.993853613,0.992,0.897,0.198795181,0,0
3,9,0.02,TRUE,5,1000,0.993410245,0.99,0.124,0.198789102,0,1
5,12,0.03,TRUE,5,1000,0.996648481,0.996,0.027,0.049196787,0,0
6,10,0.03,TRUE,50,1000,0.994829071,0.993,0.106,0.19939577,0,1
8,12,0.04,TRUE,50,1000,0.998039828,0.998,0.974,0.049098196,0,1
1,11,0.01,TRUE,5,1000,0.997286759,0.999,0.98,0.049049049,0,1
4,12,0.02,TRUE,50,1000,0.99115096,0.986,0.895,0.199594732,0,0
2,11,0.01,TRUE,50,1000,0.998021215,0.997,0.967,0.049147442,0,1
5,13,0.03,TRUE,5,1000,0.996639234,0.996,0.037,0.049196787,0,0
7,11,0.04,TRUE,5,1000,0.993395294,0.989,0.896,0.19858871,0,0
3,10,0.02,TRUE,5,1000,0.993089456,0.988,0.111,0.198989899,0,1
8,13,0.04,TRUE,50,1000,0.99789995,0.997,0.977,0.049098196,0,1
1,12,0.01,TRUE,5,1000,0.997098309,0.998,0.973,0.049049049,0,1
4,13,0.02,TRUE,50,1000,0.990523866,0.985,0.886,0.19979716,0,0
6,11,0.03,TRUE,50,1000,0.993890537,0.99,0.101,0.19939577,0,1
5,14,0.03,TRUE,5,1000,0.996552343,0.996,0.032,0.049196787,0,0
7,12,0.04,TRUE,5,1000,0.992836679,0.985,0.886,0.199191102,0,0
2,12,0.01,TRUE,50,1000,0.997901316,0.997,0.979,0.049147442,0,1
3,11,0.02,TRUE,5,1000,0.992484084,0.987,0.112,0.199392713,0,1
8,14,0.04,TRUE,50,1000,0.997699566,0.997,0.973,0.049147442,0,1
4,14,0.02,TRUE,50,1000,0.990477787,0.983,0.885,0.2,0,0
1,13,0.01,TRUE,5,1000,0.996898944,0.997,0.977,0.049098196,0,1
5,15,0.03,TRUE,5,1000,0.996359275,0.996,0.028,0.049196787,0,0
7,13,0.04,TRUE,5,1000,0.992434127,0.98,0.871,0.196954315,0.066666667,0
2,13,0.01,TRUE,50,1000,0.997673626,0.997,0.972,0.049147442,0,1
6,12,0.03,TRUE,50,1000,0.992986217,0.987,0.097,0.2,0,1
8,15,0.04,TRUE,50,1000,0.997499741,0.997,0.968,0.049147442,0,1
3,12,0.02,TRUE,5,1000,0.991964002,0.985,0.115,0.199594732,0,1
4,15,0.02,TRUE,50,1000,0.990147056,0.982,0.893,0.199389624,0,0
5,16,0.03,TRUE,5,1000,0.996032777,0.996,0.029,0.049196787,0,0
1,14,0.01,TRUE,5,1000,0.996727331,0.997,0.972,0.049147442,0,1
2,14,0.01,TRUE,50,1000,0.997488664,0.997,0.97,0.049147442,0,1
8,16,0.04,TRUE,50,1000,0.997285423,0.996,0.971,0.049147442,0,1
7,14,0.04,TRUE,5,1000,0.991907357,0.98,0.873,0.197959184,0.05,0
6,13,0.03,TRUE,50,1000,0.992604001,0.984,0.111,0.199594732,0,1
5,17,0.03,TRUE,5,1000,0.995897045,0.996,0.019,0.049196787,0,0
3,13,0.02,TRUE,5,1000,0.991185334,0.985,0.129,0.198984772,0.066666667,1
4,16,0.02,TRUE,50,1000,0.989626506,0.981,0.884,0.199592668,0,0
1,15,0.01,TRUE,5,1000,0.996528088,0.997,0.965,0.049147442,0,1
2,15,0.01,TRUE,50,1000,0.997437009,0.997,0.969,0.049147442,0,1
8,17,0.04,TRUE,50,1000,0.99706324,0.996,0.973,0.049196787,0,1
7,15,0.04,TRUE,5,1000,0.991182764,0.976,0.888,0.198979592,0.05,0
6,14,0.03,TRUE,50,1000,0.991932369,0.982,0.125,0.199186992,0,1
5,18,0.03,TRUE,5,1000,0.99570806,0.996,0.031,0.049196787,0,0
3,14,0.02,TRUE,5,1000,0.990844949,0.981,0.122,0.198984772,0,1
4,17,0.02,TRUE,50,1000,0.989157197,0.981,0.873,0.199796126,0,0
1,16,0.01,TRUE,5,1000,0.996483089,0.997,0.975,0.049147442,0,1
8,18,0.04,TRUE,50,1000,0.996876189,0.996,0.974,0.049196787,0,1
2,16,0.01,TRUE,50,1000,0.997285405,0.996,0.972,0.049147442,0,1
7,16,0.04,TRUE,5,1000,0.990961627,0.976,0.883,0.199795082,0.041666667,0
6,15,0.03,TRUE,50,1000,0.99156866,0.98,0.115,0.199592668,0,1
5,19,0.03,TRUE,5,1000,0.995547483,0.996,0.029,0.049196787,0,0
1,17,0.01,TRUE,5,1000,0.996353181,0.997,0.971,0.049147442,0,1
3,15,0.02,TRUE,5,1000,0.989979666,0.98,0.126,0.198776758,0.052631579,1
4,18,0.02,TRUE,50,1000,0.989050371,0.979,0.892,0.199796126,0,0
8,19,0.04,TRUE,50,1000,0.996702969,0.996,0.973,0.049196787,0,1
2,17,0.01,TRUE,50,1000,0.997004555,0.995,0.969,0.049196787,0,1
7,17,0.04,TRUE,5,1000,0.990906734,0.98,0.951,0.049180328,0.208333333,1
5,20,0.03,TRUE,5,1000,0.995353269,0.995,0.026,0.049196787,0,0
6,16,0.03,TRUE,50,1000,0.99074532,0.979,0.106,0.2,0.05,1
3,16,0.02,TRUE,5,1000,0.989075883,0.98,0.126,0.198979592,0.05,1
4,19,0.02,TRUE,50,1000,0.988848763,0.978,0.889,0.19918284,0.047619048,0
8,20,0.04,TRUE,50,1000,0.99660197,0.996,0.975,0.049196787,0,1
1,18,0.01,TRUE,5,1000,0.996190234,0.996,0.968,0.049147442,0,1
5,21,0.03,TRUE,5,1000,0.995302532,0.996,0.031,0.049246231,0.2,0
7,18,0.04,TRUE,5,1000,0.99078531,0.984,0.957,0.05,0.2,1
2,18,0.01,TRUE,50,1000,0.996836118,0.996,0.966,0.049246231,0.2,1
6,17,0.03,TRUE,50,1000,0.989827657,0.98,0.106,0.19918284,0.047619048,1
8,21,0.04,TRUE,50,1000,0.996485709,0.996,0.974,0.049196787,0,1
4,20,0.02,TRUE,50,1000,0.98872833,0.978,0.879,0.199386503,0.045454545,0
1,19,0.01,TRUE,5,1000,0.996206641,0.996,0.97,0.049196787,0,1
3,17,0.02,TRUE,5,1000,0.988661646,0.978,0.122,0.198979592,0.05,1
5,22,0.03,TRUE,5,1000,0.995170705,0.993,0.028,0.049196787,0,0
2,19,0.01,TRUE,50,1000,0.996697429,0.996,0.968,0.049196787,0,1
7,19,0.04,TRUE,5,1000,0.990661127,0.986,0.962,0.049796748,0.1875,1
8,22,0.04,TRUE,50,1000,0.996333667,0.996,0.973,0.049196787,0,1
4,21,0.02,TRUE,50,1000,0.988181523,0.976,0.865,0.199386503,0.045454545,0
6,18,0.03,TRUE,50,1000,0.989625891,0.978,0.117,0.2,0.05,1
3,18,0.02,TRUE,5,1000,0.988128862,0.978,0.126,0.197341513,0.045454545,1
5,23,0.03,TRUE,5,1000,0.99500954,0.993,0.034,0.049345418,0.142857143,0
1,20,0.01,TRUE,5,1000,0.996036992,0.996,0.974,0.049196787,0,1
2,20,0.01,TRUE,50,1000,0.996482822,0.996,0.97,0.049196787,0,1
8,23,0.04,TRUE,50,1000,0.996218732,0.995,0.971,0.049196787,0,1
7,20,0.04,TRUE,5,1000,0.990718486,0.988,0.968,0.04969574,0.142857143,1
4,22,0.02,TRUE,50,1000,0.988161054,0.976,0.871,0.199795082,0.041666667,0
5,24,0.03,TRUE,5,1000,0.994862787,0.994,0.036,0.049345418,0.142857143,0
6,19,0.03,TRUE,50,1000,0.98945343,0.977,0.126,0.199386503,0.045454545,1
1,21,0.01,TRUE,5,1000,0.995795321,0.996,0.975,0.049196787,0,1
3,19,0.02,TRUE,5,1000,0.987084154,0.975,0.134,0.199386503,0,1
8,24,0.04,TRUE,50,1000,0.995973427,0.995,0.973,0.049246231,0.2,1
7,21,0.04,TRUE,5,1000,0.990475121,0.99,0.965,0.049595142,0.166666667,1
4,23,0.02,TRUE,50,1000,0.988114128,0.973,0.872,0.199795082,0.041666667,0
5,25,0.03,TRUE,5,1000,0.994599494,0.995,0.03,0.049295775,0.166666667,0
2,21,0.01,TRUE,50,1000,0.996387903,0.996,0.968,0.049196787,0,1
6,20,0.03,TRUE,50,1000,0.988711196,0.975,0.121,0.199590583,0.043478261,1
1,22,0.01,TRUE,5,1000,0.995686064,0.996,0.977,0.049196787,0,1
8,25,0.04,TRUE,50,1000,0.995760643,0.996,0.975,0.049246231,0.2,1
5,26,0.03,TRUE,5,1000,0.994423302,0.996,0.027,0.049246231,0.2,0
3,20,0.02,TRUE,5,1000,0.986702117,0.976,0.127,0.198974359,0.04,1
4,24,0.02,TRUE,50,1000,0.987405982,0.972,0.876,0.19938335,0.037037037,0
7,22,0.04,TRUE,5,1000,0.990612309,0.991,0.962,0.049494949,0.2,1
2,22,0.01,TRUE,50,1000,0.996194398,0.996,0.963,0.049196787,0,1
8,26,0.04,TRUE,50,1000,0.995627278,0.996,0.974,0.049196787,0,1
6,21,0.03,TRUE,50,1000,0.988058178,0.973,0.127,0.2,0.04,1
5,27,0.03,TRUE,5,1000,0.994261243,0.996,0.029,0.049196787,0,0
1,23,0.01,TRUE,5,1000,0.995446389,0.994,0.976,0.049196787,0,1
4,25,0.02,TRUE,50,1000,0.986956217,0.971,0.887,0.199588477,0.035714286,0
3,21,0.02,TRUE,5,1000,0.986145608,0.973,0.125,0.198770492,0,1
7,23,0.04,TRUE,5,1000,0.990470251,0.992,0.969,0.049445005,0.111111111,1
2,23,0.01,TRUE,50,1000,0.996036642,0.995,0.971,0.049196787,0,1
8,27,0.04,TRUE,50,1000,0.995555194,0.996,0.964,0.049196787,0,1
5,28,0.03,TRUE,5,1000,0.994114889,0.995,0.028,0.049196787,0,0
6,22,0.03,TRUE,50,1000,0.987254468,0.972,0.116,0.19938335,0.037037037,1
1,24,0.01,TRUE,5,1000,0.995315517,0.995,0.968,0.049295775,0.166666667,1
7,24,0.04,TRUE,5,1000,0.990394679,0.992,0.964,0.049395161,0.125,1
4,26,0.02,TRUE,50,1000,0.986264661,0.968,0.878,0.199794027,0.034482759,0
3,22,0.02,TRUE,5,1000,0.985361816,0.969,0.113,0.19938335,0.037037037,1
8,28,0.04,TRUE,50,1000,0.995467294,0.995,0.97,0.049196787,0,1
5,29,0.03,TRUE,5,1000,0.993996633,0.996,0.035,0.049246231,0.2,0
1,25,0.01,TRUE,5,1000,0.995254535,0.996,0.973,0.049246231,0.2,1
2,24,0.01,TRUE,50,1000,0.995923965,0.996,0.967,0.049246231,0.2,1
4,27,0.02,TRUE,50,1000,0.98554821,0.969,0.87,0.199380165,0.03125,0
6,23,0.03,TRUE,50,1000,0.986634809,0.968,0.118,0.199588477,0.035714286,1
3,23,0.02,TRUE,5,1000,0.985674667,0.966,0.132,0.200206398,0,1
7,25,0.04,TRUE,5,1000,0.990274297,0.992,0.966,0.049395161,0.125,1
5,30,0.03,TRUE,5,1000,0.993791077,0.996,0.028,0.049196787,0,0
8,29,0.04,TRUE,50,1000,0.995228164,0.995,0.903,0.2,0,0
1,26,0.01,TRUE,5,1000,0.995201572,0.996,0.972,0.049196787,0,1
2,25,0.01,TRUE,50,1000,0.995742943,0.996,0.975,0.049196787,0,1
4,28,0.02,TRUE,50,1000,0.985034213,0.967,0.881,0.199174407,0.032258065,0
3,24,0.02,TRUE,5,1000,0.984733458,0.962,0.14,0.197722567,0.058823529,1
7,26,0.04,TRUE,5,1000,0.990147293,0.993,0.968,0.049395161,0.125,1
6,24,0.03,TRUE,50,1000,0.986288307,0.965,0.125,0.199380165,0.03125,1
5,31,0.03,TRUE,5,1000,0.993692929,0.994,0.031,0.049196787,0,0
8,30,0.04,TRUE,50,1000,0.994464538,0.994,0.892,0.2,0,0
1,27,0.01,TRUE,5,1000,0.995250588,0.995,0.965,0.049196787,0,1
4,29,0.02,TRUE,50,1000,0.984279956,0.962,0.875,0.19958635,0.03030303,0
2,26,0.01,TRUE,50,1000,0.995598942,0.996,0.976,0.049196787,0,1
5,32,0.03,TRUE,5,1000,0.99363302,0.995,0.033,0.049295775,0.166666667,0
7,27,0.04,TRUE,5,1000,0.990036011,0.991,0.974,0.049345418,0.142857143,1
3,25,0.02,TRUE,5,1000,0.984505342,0.964,0.125,0.198544699,0.052631579,1
8,31,0.04,TRUE,50,1000,0.993843351,0.992,0.907,0.199195171,0,0
6,25,0.03,TRUE,50,1000,0.985941547,0.961,0.126,0.2,0.028571429,1
1,28,0.01,TRUE,5,1000,0.995138825,0.996,0.972,0.049246231,0.2,1
4,30,0.02,TRUE,50,1000,0.984185089,0.961,0.87,0.1995842,0.026315789,0
2,27,0.01,TRUE,50,1000,0.995515086,0.996,0.969,0.049196787,0,1
3,26,0.02,TRUE,5,1000,0.98416689,0.961,0.128,0.199170124,0.027777778,1
5,33,0.03,TRUE,5,1000,0.993453336,0.994,0.022,0.049246231,0.2,0
8,32,0.04,TRUE,50,1000,0.993565583,0.991,0.893,0.199596774,0,0
7,28,0.04,TRUE,5,1000,0.990067925,0.992,0.968,0.049445005,0.111111111,1
6,26,0.03,TRUE,50,1000,0.985444226,0.96,0.145,0.199791883,0.025641026,1
1,29,0.01,TRUE,5,1000,0.994885341,0.996,0.971,0.049196787,0,1
4,31,0.02,TRUE,50,1000,0.984177766,0.96,0.87,0.199791883,0.025641026,0
5,34,0.03,TRUE,5,1000,0.993368706,0.994,0.035,0.049295775,0.166666667,0
2,28,0.01,TRUE,50,1000,0.99534117,0.996,0.97,0.049196787,0,1
8,33,0.04,TRUE,50,1000,0.99302252,0.989,0.905,0.199798184,0,0
3,27,0.02,TRUE,5,1000,0.983605496,0.961,0.142,0.197710718,0.051282051,1
7,29,0.04,TRUE,5,1000,0.989901406,0.993,0.964,0.049395161,0.125,1
1,30,0.01,TRUE,5,1000,0.994867035,0.996,0.975,0.049196787,0,1
6,27,0.03,TRUE,50,1000,0.985129089,0.957,0.133,0.2,0.05,1
5,35,0.03,TRUE,5,1000,0.993259845,0.994,0.031,0.049295775,0.166666667,0
4,32,0.02,TRUE,50,1000,0.98415964,0.958,0.873,0.2,0.05,0
8,34,0.04,TRUE,50,1000,0.992572704,0.985,0.888,0.199191102,0,0
3,28,0.02,TRUE,5,1000,0.983336293,0.96,0.14,0.198751301,0.025641026,1
2,29,0.01,TRUE,50,1000,0.995295732,0.996,0.971,0.049196787,0,1
7,30,0.04,TRUE,5,1000,0.9899909,0.993,0.965,0.049345418,0.142857143,1
5,36,0.03,TRUE,5,1000,0.99315415,0.994,0.024,0.049295775,0.166666667,0
4,33,0.02,TRUE,50,1000,0.984014453,0.953,0.867,0.199373695,0.047619048,0
1,31,0.01,TRUE,5,1000,0.994613165,0.996,0.972,0.049196787,0,1
6,28,0.03,TRUE,50,1000,0.984402068,0.955,0.14,0.199582027,0.046511628,1
8,35,0.04,TRUE,50,1000,0.992000637,0.984,0.894,0.2,0,0
3,29,0.02,TRUE,5,1000,0.982935595,0.959,0.132,0.197916667,0.05,1
7,31,0.04,TRUE,5,1000,0.990024186,0.993,0.973,0.049345418,0.142857143,1
2,30,0.01,TRUE,50,1000,0.995207501,0.996,0.971,0.049196787,0,1
5,37,0.03,TRUE,5,1000,0.993005586,0.995,0.028,0.049295775,0.166666667,0
4,34,0.02,TRUE,50,1000,0.98385293,0.955,0.855,0.199370409,0.042553191,0
1,32,0.01,TRUE,5,1000,0.994481183,0.996,0.969,0.049196787,0,1
6,29,0.03,TRUE,50,1000,0.983404107,0.956,0.137,0.2,0.044444444,1
8,36,0.04,TRUE,50,1000,0.991242276,0.983,0.882,0.199186992,0,0
3,30,0.02,TRUE,5,1000,0.982096787,0.953,0.141,0.198123045,0.048780488,1
5,38,0.03,TRUE,5,1000,0.992952741,0.996,0.026,0.049246231,0.2,0
4,35,0.02,TRUE,50,1000,0.984122483,0.956,0.862,0.2,0.044444444,0
2,31,0.01,TRUE,50,1000,0.99504425,0.995,0.966,0.049196787,0,1
7,32,0.04,TRUE,5,1000,0.989870466,0.993,0.967,0.049345418,0.142857143,1
6,30,0.03,TRUE,50,1000,0.983067992,0.957,0.143,0.199790795,0.045454545,1
8,37,0.04,TRUE,50,1000,0.990707421,0.981,0.877,0.199389624,0,0
1,33,0.01,TRUE,5,1000,0.994297406,0.995,0.971,0.049196787,0,1
5,39,0.03,TRUE,5,1000,0.992886711,0.996,0.026,0.049196787,0,0
4,36,0.02,TRUE,50,1000,0.983653288,0.956,0.87,0.199790795,0.045454545,0
7,33,0.04,TRUE,5,1000,0.990193242,0.994,0.972,0.049345418,0.142857143,1
2,32,0.01,TRUE,50,1000,0.995035186,0.996,0.967,0.049246231,0.2,1
3,31,0.02,TRUE,5,1000,0.9813756,0.95,0.153,0.198321091,0.021276596,1
6,31,0.03,TRUE,50,1000,0.982727292,0.956,0.146,0.199582027,0.046511628,1
8,38,0.04,TRUE,50,1000,0.990500746,0.98,0.884,0.199796126,0,0
5,40,0.03,TRUE,5,1000,0.992861781,0.996,0.031,0.049196787,0,0
4,37,0.02,TRUE,50,1000,0.982985536,0.954,0.866,0.199790795,0.045454545,0
1,34,0.01,TRUE,5,1000,0.994137547,0.995,0.971,0.049246231,0.2,1
2,33,0.01,TRUE,50,1000,0.994939791,0.996,0.97,0.049196787,0,1
7,34,0.04,TRUE,5,1000,0.989226002,0.991,0.907,0.199195171,0,0
5,41,0.03,TRUE,5,1000,0.992579825,0.994,0.033,0.049196787,0,0
8,39,0.04,TRUE,50,1000,0.990140785,0.978,0.88,0.2,0.05,0
4,38,0.02,TRUE,50,1000,0.98294658,0.953,0.865,0.199161426,0.043478261,0
1,35,0.01,TRUE,5,1000,0.993901221,0.996,0.978,0.049246231,0.2,1
3,32,0.02,TRUE,5,1000,0.980299713,0.947,0.139,0.198947368,0.04,1
6,32,0.03,TRUE,50,1000,0.982336334,0.956,0.139,0.199790795,0.045454545,1
5,42,0.03,TRUE,5,1000,0.992602083,0.995,0.031,0.049295775,0.166666667,0
2,34,0.01,TRUE,50,1000,0.994664843,0.996,0.976,0.049196787,0,1
7,35,0.04,TRUE,5,1000,0.988686047,0.988,0.89,0.199798184,0,0
8,40,0.04,TRUE,50,1000,0.989531231,0.976,0.885,0.199386503,0.045454545,0
4,39,0.02,TRUE,50,1000,0.982637663,0.961,0.939,0.049317943,0.191489362,1
3,33,0.02,TRUE,5,1000,0.980133805,0.943,0.152,0.198521647,0.037735849,1
5,43,0.03,TRUE,5,1000,0.992245131,0.994,0.027,0.049246231,0.2,0
1,36,0.01,TRUE,5,1000,0.993842072,0.996,0.974,0.049196787,0,1
6,33,0.03,TRUE,50,1000,0.982124696,0.952,0.142,0.199790795,0.045454545,1
2,35,0.01,TRUE,50,1000,0.994585052,0.996,0.973,0.049196787,0,1
7,36,0.04,TRUE,5,1000,0.988170076,0.985,0.886,0.198380567,0,0
8,41,0.04,TRUE,50,1000,0.989010817,0.974,0.881,0.199795082,0.041666667,0
4,40,0.02,TRUE,50,1000,0.982816233,0.968,0.939,0.049947971,0.179487179,1
5,44,0.03,TRUE,5,1000,0.992240031,0.995,0.026,0.049295775,0.166666667,0
3,34,0.02,TRUE,5,1000,0.980098732,0.944,0.154,0.198303287,0.052631579,1
1,37,0.01,TRUE,5,1000,0.993700108,0.996,0.971,0.049196787,0,1
6,34,0.03,TRUE,50,1000,0.981896152,0.951,0.135,0.199579832,0.041666667,1
2,36,0.01,TRUE,50,1000,0.994414549,0.996,0.971,0.049196787,0,1
8,42,0.04,TRUE,50,1000,0.988676352,0.979,0.953,0.049281314,0.192307692,1
4,41,0.02,TRUE,50,1000,0.982808967,0.972,0.952,0.049586777,0.1875,1
5,45,0.03,TRUE,5,1000,0.991996943,0.995,0.026,0.049246231,0.2,0
7,37,0.04,TRUE,5,1000,0.987567178,0.984,0.888,0.198984772,0,0
2,37,0.01,TRUE,50,1000,0.994244749,0.995,0.972,0.049196787,0,1
6,35,0.03,TRUE,50,1000,0.980671027,0.948,0.154,0.199789695,0.040816327,1
8,43,0.04,TRUE,50,1000,0.98884922,0.983,0.961,0.049029622,0.19047619,1
1,38,0.01,TRUE,5,1000,0.993383129,0.995,0.974,0.049196787,0,1
4,42,0.02,TRUE,50,1000,0.982592041,0.977,0.951,0.049382716,0.178571429,1
5,46,0.03,TRUE,5,1000,0.991722567,0.992,0.113,0.2,0,1
3,35,0.02,TRUE,5,1000,0.979997625,0.94,0.152,0.19809322,0.053571429,1
7,38,0.04,TRUE,5,1000,0.987472778,0.981,0.887,0.199186992,0,0
2,38,0.01,TRUE,50,1000,0.994181312,0.995,0.974,0.049246231,0.2,1
8,44,0.04,TRUE,50,1000,0.988622606,0.986,0.962,0.049847406,0.176470588,1
5,47,0.03,TRUE,5,1000,0.991157789,0.992,0.106,0.19858871,0,1
4,43,0.02,TRUE,50,1000,0.982486865,0.979,0.963,0.04912999,0.173913043,1
3,36,0.02,TRUE,5,1000,0.980209382,0.941,0.157,0.196808511,0.05,1
7,39,0.04,TRUE,5,1000,0.987346173,0.979,0.884,0.198776758,0.052631579,0
